nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT05251363,BIOTRONIK Conduction System Pacing With the Solia Lead,COMPLETED,2022-12-12,2024-10-08,NA,194,INTERVENTIONAL,"Biotronik, Inc.",INDUSTRY,True
NCT06962371,Clinical Feasibility and Evaluation Study of POINT-GUARD Embolic Protection Device During TAVR (GUARDIAN),RECRUITING,2025-04-07,2026-03,NA,30,INTERVENTIONAL,"Transverse Medical, Inc.",INDUSTRY,True
NCT04980378,Post Approval Study Protocol for the Two Level Simplify® Cervical Artificial Disc,COMPLETED,2021-08-01,2024-01-24,,291,OBSERVATIONAL,NuVasive,INDUSTRY,True
NCT03379649,Platelet Rich Plasma for Patients With Recurrent Implantation Failure,COMPLETED,2019-01-16,2023-12-20,EARLY_PHASE1,50,INTERVENTIONAL,Stanford University,OTHER,True
NCT03022708,Xeltis Bioabsorbable Pulmonary Valved Conduit Pivotal Study,ACTIVE_NOT_RECRUITING,2017-05-08,2026-12,NA,56,INTERVENTIONAL,Xeltis,INDUSTRY,True
NCT03028415,AMPLEX Ankle Fusion and Hindfoot,COMPLETED,2017-07-28,2020-07-09,NA,56,INTERVENTIONAL,Ferring Pharmaceuticals,INDUSTRY,True
NCT04392635,Device to Assist With Abdominal Access During Laparoscopic Surgery,COMPLETED,2022-06-20,2024-06-17,NA,31,INTERVENTIONAL,Stanford University,OTHER,True
NCT05531643,Pilot Study of TENS for Ocular Pain,COMPLETED,2022-10-03,2024-11-30,NA,40,INTERVENTIONAL,VA Office of Research and Development,FED,True
NCT07281638,Bedside Bike Early Mobilization Program for Inpatients,NOT_YET_RECRUITING,2026-07-05,2026-12-31,NA,80,INTERVENTIONAL,Indiana University,OTHER,True
NCT06173089,REmote MOnitoring of paTiEnts witH pacEmaker or implAntable cardioverteR defibrillaTor,UNKNOWN,2023-01-30,2025-08-30,,800,OBSERVATIONAL,Semmelweis University Heart and Vascular Center,OTHER,True
NCT04768543,Stimulation Therapy for Apnea: Reporting Thoughts,COMPLETED,2020-03-02,2021-05-01,,26,OBSERVATIONAL,University of Pittsburgh,OTHER,True
NCT02700425,His Bundle Pacing Versus Coronary Sinus Pacing for Cardiac Resynchronization Therapy,COMPLETED,2016-05-17,2020-07-31,NA,41,INTERVENTIONAL,University of Chicago,OTHER,True
NCT03711591,Single Center Post Approval Proximal Humerus Fixation With the Conventus Cage PH™ Device,TERMINATED,2018-11-29,2020-02-17,,10,OBSERVATIONAL,"Conventus Orthopaedics, Inc.",INDUSTRY,True
